# x	: fraction synchrotron photon frequency to critical frequency
# log10(x)	CDF
# 
-7.40000e-01	1.36642e-01
-7.30000e-01	1.40443e-01
-7.20000e-01	1.44341e-01
-7.10000e-01	1.48338e-01
-7.00000e-01	1.52437e-01
-6.90000e-01	1.56640e-01
-6.80000e-01	1.60948e-01
-6.70000e-01	1.65365e-01
-6.60000e-01	1.69892e-01
-6.50000e-01	1.74532e-01
-6.40000e-01	1.79286e-01
-6.30000e-01	1.84158e-01
-6.20000e-01	1.89148e-01
-6.10000e-01	1.94261e-01
-6.00000e-01	1.99497e-01
-5.90000e-01	2.04859e-01
-5.80000e-01	2.10350e-01
-5.70000e-01	2.15972e-01
-5.60000e-01	2.21727e-01
-5.50000e-01	2.27617e-01
-5.40000e-01	2.33645e-01
-5.30000e-01	2.39813e-01
-5.20000e-01	2.46124e-01
-5.10000e-01	2.52579e-01
-5.00000e-01	2.59181e-01
-4.90000e-01	2.65932e-01
-4.80000e-01	2.72834e-01
-4.70000e-01	2.79890e-01
-4.60000e-01	2.87102e-01
-4.50000e-01	2.94472e-01
-4.40000e-01	3.02002e-01
-4.30000e-01	3.09694e-01
-4.20000e-01	3.17549e-01
-4.10000e-01	3.25571e-01
-4.00000e-01	3.33761e-01
-3.90000e-01	3.42121e-01
-3.80000e-01	3.50652e-01
-3.70000e-01	3.59356e-01
-3.60000e-01	3.68235e-01
-3.50000e-01	3.77290e-01
-3.40000e-01	3.86523e-01
-3.30000e-01	3.95935e-01
-3.20000e-01	4.05527e-01
-3.10000e-01	4.15301e-01
-3.00000e-01	4.25256e-01
-2.90000e-01	4.35396e-01
-2.80000e-01	4.45718e-01
-2.70000e-01	4.56226e-01
-2.60000e-01	4.66918e-01
-2.50000e-01	4.77796e-01
-2.40000e-01	4.88858e-01
-2.30000e-01	5.00106e-01
-2.20000e-01	5.11538e-01
-2.10000e-01	5.23155e-01
-2.00000e-01	5.34956e-01
-1.90000e-01	5.46939e-01
-1.80000e-01	5.59105e-01
-1.70000e-01	5.71450e-01
-1.60000e-01	5.83974e-01
-1.50000e-01	5.96676e-01
-1.40000e-01	6.09552e-01
-1.30000e-01	6.22601e-01
-1.20000e-01	6.35820e-01
-1.10000e-01	6.49206e-01
-1.00000e-01	6.62757e-01
-9.00000e-02	6.76467e-01
-8.00000e-02	6.90335e-01
-7.00000e-02	7.04355e-01
-6.00000e-02	7.18524e-01
-5.00000e-02	7.32837e-01
-4.00000e-02	7.47288e-01
-3.00000e-02	7.61873e-01
-2.00000e-02	7.76586e-01
-1.00000e-02	7.91420e-01
0.00000e+00	8.06370e-01
1.00000e-02	8.21429e-01
2.00000e-02	8.36590e-01
3.00000e-02	8.51846e-01
4.00000e-02	8.67188e-01
5.00000e-02	8.82609e-01
6.00000e-02	8.98100e-01
7.00000e-02	9.13654e-01
8.00000e-02	9.29261e-01
9.00000e-02	9.44911e-01
1.00000e-01	9.60595e-01
1.10000e-01	9.76303e-01
1.20000e-01	9.92026e-01
1.30000e-01	1.00775e+00
1.40000e-01	1.02347e+00
1.50000e-01	1.03917e+00
1.60000e-01	1.05484e+00
1.70000e-01	1.07048e+00
1.80000e-01	1.08605e+00
1.90000e-01	1.10157e+00
2.00000e-01	1.11701e+00
2.10000e-01	1.13236e+00
2.20000e-01	1.14762e+00
2.30000e-01	1.16276e+00
2.40000e-01	1.17777e+00
2.50000e-01	1.19266e+00
2.60000e-01	1.20739e+00
2.70000e-01	1.22196e+00
2.80000e-01	1.23637e+00
2.90000e-01	1.25059e+00
3.00000e-01	1.26461e+00
3.10000e-01	1.27843e+00
3.20000e-01	1.29203e+00
3.30000e-01	1.30540e+00
3.40000e-01	1.31853e+00
3.50000e-01	1.33142e+00
3.60000e-01	1.34405e+00
3.70000e-01	1.35640e+00
3.80000e-01	1.36849e+00
3.90000e-01	1.38028e+00
4.00000e-01	1.39179e+00
4.10000e-01	1.40299e+00
4.20000e-01	1.41389e+00
4.30000e-01	1.42448e+00
4.40000e-01	1.43475e+00
4.50000e-01	1.44470e+00
4.60000e-01	1.45432e+00
4.70000e-01	1.46361e+00
4.80000e-01	1.47258e+00
4.90000e-01	1.48121e+00
5.00000e-01	1.48951e+00
5.10000e-01	1.49747e+00
5.20000e-01	1.50510e+00
5.30000e-01	1.51240e+00
5.40000e-01	1.51937e+00
5.50000e-01	1.52602e+00
