# redshift	 global evolution factor
4.74	2.3377e-02
4.75	2.3206e-02
4.76	2.3027e-02
4.77	2.2850e-02
4.78	2.2678e-02
4.79	2.2497e-02
4.80	2.2329e-02
4.81	2.2160e-02
4.82	2.1993e-02
4.83	2.1820e-02
4.84	2.1653e-02
4.85	2.1484e-02
4.86	2.1321e-02
4.87	2.1157e-02
4.88	2.0996e-02
4.89	2.0833e-02
4.90	2.0681e-02
4.91	2.0516e-02
4.92	2.0359e-02
4.93	2.0197e-02
4.94	2.0042e-02
4.95	1.9890e-02
4.96	1.9751e-02
4.97	1.9591e-02
4.98	1.9433e-02
4.99	1.9289e-02
5.00	1.9139e-02
