# redshift	 global evolution factor
4.33	1.3155e-02
4.34	1.3015e-02
4.35	1.2869e-02
4.36	1.2730e-02
4.37	1.2597e-02
4.38	1.2458e-02
4.39	1.2323e-02
4.40	1.2188e-02
4.41	1.2060e-02
4.42	1.1929e-02
4.43	1.1799e-02
4.44	1.1674e-02
4.45	1.1549e-02
4.46	1.1423e-02
4.47	1.1301e-02
4.48	1.1180e-02
4.49	1.1062e-02
4.50	1.0945e-02
4.51	1.0826e-02
4.52	1.0713e-02
4.53	1.0597e-02
4.54	1.0488e-02
4.55	1.0375e-02
4.56	1.0266e-02
4.57	1.0155e-02
4.58	1.0046e-02
4.59	9.9423e-03
4.60	9.8352e-03
4.61	9.7318e-03
4.62	9.6299e-03
4.63	9.5295e-03
4.64	9.4299e-03
4.65	9.3276e-03
4.66	9.2312e-03
4.67	9.1371e-03
4.68	9.0394e-03
4.69	8.9411e-03
4.70	8.8504e-03
4.71	8.7553e-03
4.72	8.6683e-03
4.73	8.5743e-03
4.74	8.4893e-03
4.75	8.3995e-03
4.76	8.3104e-03
4.77	8.2261e-03
4.78	8.1409e-03
4.79	8.0536e-03
4.80	7.9714e-03
4.81	7.8888e-03
4.82	7.8085e-03
4.83	7.7266e-03
4.84	7.6448e-03
4.85	7.5648e-03
4.86	7.4893e-03
4.87	7.4107e-03
4.88	7.3345e-03
4.89	7.2574e-03
4.90	7.1863e-03
4.91	7.1106e-03
4.92	7.0369e-03
4.93	6.9650e-03
4.94	6.8944e-03
4.95	6.8241e-03
4.96	6.7523e-03
4.97	6.6827e-03
4.98	6.6147e-03
4.99	6.5498e-03
5.00	6.4781e-03
