# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	14.12	5.417822e-04	5.335210e-04
0.00	14.16	5.443524e-04	5.363445e-04
0.00	14.20	5.469460e-04	5.391839e-04
0.00	14.24	5.495766e-04	5.420551e-04
0.00	14.28	5.522519e-04	5.449635e-04
0.00	14.32	5.549693e-04	5.479064e-04
0.00	14.36	5.577218e-04	5.508770e-04
0.00	14.40	5.605060e-04	5.538724e-04
0.00	14.44	5.633125e-04	5.568823e-04
0.00	14.48	5.661322e-04	5.598989e-04
0.00	14.52	5.689547e-04	5.629063e-04
0.00	14.56	5.716600e-04	5.657774e-04
0.00	14.60	5.741646e-04	5.684374e-04
0.00	14.64	5.763670e-04	5.707738e-04
0.00	14.68	5.781158e-04	5.726395e-04
0.00	14.72	5.792620e-04	5.738811e-04
0.00	14.76	5.794629e-04	5.741168e-04
0.00	14.80	5.781709e-04	5.728062e-04
0.00	14.84	5.748051e-04	5.693662e-04
0.00	14.88	5.688261e-04	5.632514e-04
0.00	14.92	5.593834e-04	5.535745e-04
0.00	14.96	5.454538e-04	5.393193e-04
0.00	15.00	5.257691e-04	5.191984e-04
0.00	15.04	5.015714e-04	4.950181e-04
0.00	15.08	4.750019e-04	4.684504e-04
0.00	15.12	4.458671e-04	4.393018e-04
0.00	15.16	4.144717e-04	4.080040e-04
0.00	15.20	3.814053e-04	3.750324e-04
0.00	15.24	3.467204e-04	3.405245e-04
0.00	15.28	3.119239e-04	3.060373e-04
0.00	15.32	2.774786e-04	2.718898e-04
0.00	15.36	2.438563e-04	2.386963e-04
0.00	15.40	2.121190e-04	2.073897e-04
0.00	15.44	1.822161e-04	1.779199e-04
0.00	15.48	1.547984e-04	1.509904e-04
0.00	15.52	1.300092e-04	1.266394e-04
0.00	15.56	1.077508e-04	1.048334e-04
0.00	15.60	8.834307e-05	8.584732e-05
0.00	15.64	7.146987e-05	6.934475e-05
0.00	15.68	5.708406e-05	5.532676e-05
0.00	15.72	4.503681e-05	4.358647e-05
0.00	15.76	3.497769e-05	3.380147e-05
0.00	15.80	2.680636e-05	2.586928e-05
0.00	15.84	2.020810e-05	1.946356e-05
0.00	15.88	1.493833e-05	1.436328e-05
0.00	15.92	1.081342e-05	1.037203e-05
0.00	15.96	7.587521e-06	7.253195e-06
0.00	16.00	5.109764e-06	4.862178e-06
0.10	6.00	0.000000e+00	0.000000e+00
0.10	6.04	0.000000e+00	0.000000e+00
0.10	6.08	0.000000e+00	0.000000e+00
0.10	6.12	0.000000e+00	0.000000e+00
0.10	6.16	0.000000e+00	0.000000e+00
0.10	6.20	0.000000e+00	0.000000e+00
0.10	6.24	0.000000e+00	0.000000e+00
0.10	6.28	0.000000e+00	0.000000e+00
0.10	6.32	0.000000e+00	0.000000e+00
0.10	6.36	0.000000e+00	0.000000e+00
0.10	6.40	0.000000e+00	0.000000e+00
0.10	6.44	0.000000e+00	0.000000e+00
0.10	6.48	0.000000e+00	0.000000e+00
0.10	6.52	0.000000e+00	0.000000e+00
0.10	6.56	0.000000e+00	0.000000e+00
0.10	6.60	0.000000e+00	0.000000e+00
0.10	6.64	0.000000e+00	0.000000e+00
0.10	6.68	0.000000e+00	0.000000e+00
0.10	6.72	0.000000e+00	0.000000e+00
0.10	6.76	0.000000e+00	0.000000e+00
0.10	6.80	0.000000e+00	0.000000e+00
0.10	6.84	1.064839e-12	8.265049e-13
0.10	6.88	1.389294e-11	1.281436e-11
0.10	6.92	6.122363e-11	5.928044e-11
0.10	6.96	1.822813e-10	1.804400e-10
0.10	7.00	4.432548e-10	4.440991e-10
0.10	7.04	9.562896e-10	9.652154e-10
0.10	7.08	1.900069e-09	1.927552e-09
0.10	7.12	3.520940e-09	3.586334e-09
0.10	7.16	6.145199e-09	6.282875e-09
0.10	7.20	1.014874e-08	1.041359e-08
0.10	7.24	1.593003e-08	1.639740e-08
