1.99526e+21  5.49011 3.08706  121.351 0.0319482
1.94984e+21  5.5776 2.99609  121.572 0.0318402
1.90546e+21  5.51695 3.04207  125.975 0.032464
1.86209e+21  5.58582 2.96905  121.802 0.0322276
1.8197e+21  5.59247 2.96819  122.743 0.0325645
1.77828e+21  5.6416 2.89239  119.073 0.0326804
1.7378e+21  5.53031 2.88515  121.307 0.0335311
1.69824e+21  5.71052 2.86474  121.331 0.0331221
1.65959e+21  5.59041 2.8658  119.241 0.0326981
1.62181e+21  5.60785 2.82227  122.779 0.0325763
1.58489e+21  5.51502 2.75908  119.902 0.0326714
1.54882e+21  5.77825 2.73766  119.806 0.0332834
1.51356e+21  5.49989 2.71138  123.871 0.0322025
1.47911e+21  5.68518 2.70948  123.249 0.0326794
1.44544e+21  5.71416 2.6462  123.454 0.0340954
1.41254e+21  5.59048 2.58483  122.669 0.0330134
1.38038e+21  5.79534 2.61202  121.73 0.0336272
1.34896e+21  5.66003 2.50094  120.725 0.0341227
1.31826e+21  5.76062 2.53671  125.483 0.0331903
1.28825e+21  5.72831 2.50306  119.499 0.034821
1.25893e+21  5.68962 2.46094  122.326 0.0335755
1.23027e+21  5.76829 2.47367  124.433 0.0341764
1.20226e+21  5.66355 2.41811  124.315 0.0334847
1.1749e+21  5.78711 2.3769  123.513 0.0338775
1.14815e+21  5.78059 2.33166  123.981 0.0336153
1.12202e+21  5.72412 2.35673  122.302 0.0345392
1.09648e+21  5.97937 2.30713  122.488 0.0342704
1.07152e+21  5.87595 2.27183  122.922 0.0340318
1.04713e+21  5.76436 2.27952  120.089 0.0341655
1.02329e+21  5.86314 2.23557  122.745 0.0333303
1e+21  5.92757 2.20804  121.059 0.0339772
9.77237e+20  5.95125 2.17929  119.671 0.0344389
9.54993e+20  6.06747 2.1372  122.544 0.0329121
9.33254e+20  5.88934 2.14443  123.998 0.0343161
9.12011e+20  5.8394 2.13041  119.096 0.0346333
8.91251e+20  5.94861 2.12227  120.463 0.034992
8.70964e+20  6.2063 2.09259  123.368 0.0346649
8.51138e+20  6.30575 2.08027  122.186 0.0347458
8.31764e+20  6.09967 2.08541  123.556 0.0352765
8.12831e+20  6.19453 2.06606  125.159 0.0341481
7.94328e+20  6.00466 2.08174  120.595 0.0340883
7.76247e+20  6.04247 2.01523  123.456 0.0360699
7.58578e+20  6.00409 1.94513  121.356 0.0348426
7.4131e+20  6.12958 1.9236  119.565 0.0360819
7.24436e+20  6.37126 1.89216  122.657 0.0348974
