A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
8  	C      	6  	2  	0.0000  	0+            	35.082    	23   	230 KEV 50               	1.981E-21                	          	        	P       	100.00      
8  	C      	6  	2  	0.0000  	0+            	35.082    	23   	230 KEV 50               	1.981E-21                	          	        	A       	            
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9094   	21   	126.5 MS 9               	0.127                    	          	        	EC      	100.00      
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9094   	21   	126.5 MS 9               	0.127                    	          	        	EP      	61.60       
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9094   	21   	126.5 MS 9               	0.127                    	          	        	EA      	38.40       
10 	C      	6  	4  	0.0000  	0+            	15.6986   	4    	19.308 S 4               	19.308                   	          	        	EC      	100.00      
11 	C      	6  	5  	0.0000  	3/2-          	10.6503   	10   	20.334 M 24              	1220.04                  	          	        	EC      	100.00      
12 	C      	6  	6  	0.0000  	0+            	0         	     	STABLE                   	infinity                 	98.93%    	8       	        	            
13 	C      	6  	7  	0.0000  	1/2-          	3.12500000	21   	STABLE                   	infinity                 	1.07%     	8       	        	            
14 	C      	6  	8  	0.0000  	0+            	3.019800  	4    	5700 Y 30                	1.799E11                 	          	        	B-      	100.00      
15 	C      	6  	9  	0.0000  	1/2+          	9.8731    	8    	2.449 S 5                	2.449                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694    	4    	0.747 S 8                	0.747                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694    	4    	0.747 S 8                	0.747                    	          	        	BN      	99.00       
17 	C      	6  	11 	0.0000  	3/2+          	21.032    	17   	193 MS 13                	0.193                    	          	        	B-      	100.00      
17 	C      	6  	11 	0.0000  	3/2+          	21.032    	17   	193 MS 13                	0.193                    	          	        	BN      	32.00       
18 	C      	6  	12 	0.0000  	0+            	24.92     	3    	92 MS 2                  	0.092                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92     	3    	92 MS 2                  	0.092                    	          	        	BN      	31.50       
19 	C      	6  	13 	0.0000  	1/2+          	32.41     	10   	49 MS 4                  	0.049                    	          	        	B-      	            
19 	C      	6  	13 	0.0000  	1/2+          	32.41     	10   	49 MS 4                  	0.049                    	          	        	BN      	61.00       
20 	C      	6  	14 	0.0000  	0+            	37.56     	24   	14 MS +6-5               	0.014                    	          	        	BN      	72.00       
20 	C      	6  	14 	0.0000  	0+            	37.56     	24   	14 MS +6-5               	0.014                    	          	        	B-      	100.00      
21 	C      	6  	15 	0.0000  	(1/2+)        	45.6      	4    	30 NS LT                 	3.0000000000000004E-8    	          	        	N       	?           
22 	C      	6  	16 	0.0000  	0+            	52.1      	5    	6.1 MS +14-12            	0.0061                   	          	        	B-      	100.00      
22 	C      	6  	16 	0.0000  	0+            	52.1      	5    	6.1 MS +14-12            	0.0061                   	          	        	BN      	61.00       
22 	C      	6  	16 	0.0000  	0+            	52.1      	5    	6.1 MS +14-12            	0.0061                   	          	        	B2N     	< 37.00     
10 	N      	7  	3  	0.0000  	              	38.8      	4    	                         	                         	          	        	P       	100.00      
11 	N      	7  	4  	0.0000  	1/2+          	24.30     	5    	0.83 MEV 3               	5.49E-22                 	          	        	P       	100.00      
12 	N      	7  	5  	0.0000  	1+            	17.3380   	10   	11.000 MS 16             	0.011                    	          	        	EC      	100.00      
13 	N      	7  	6  	0.0000  	1/2-          	5.3454    	3    	9.965 M 4                	597.9                    	          	        	EC      	100.00      
14 	N      	7  	7  	0.0000  	1+            	2.86340000	19   	STABLE                   	infinity                 	99.636%   	20      	        	            
15 	N      	7  	8  	0.0000  	1/2-          	0.1014000 	6    	STABLE                   	infinity                 	0.364%    	20      	        	            
16 	N      	7  	9  	0.0000  	2-            	5.684     	3    	7.13 S 2                 	7.13                     	          	        	B-      	100.00      
16 	N      	7  	9  	0.0000  	2-            	5.684     	3    	7.13 S 2                 	7.13                     	          	        	BA      	1.2E-3      
17 	N      	7  	10 	0.0000  	1/2-          	7.870     	15   	4.173 S 4                	4.173                    	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.870     	15   	4.173 S 4                	4.173                    	          	        	BN      	95.1        
18 	N      	7  	11 	0.0000  	1-            	13.113    	19   	620 MS 8                 	0.62                     	          	        	B-      	100.00      
18 	N      	7  	11 	0.0000  	1-            	13.113    	19   	620 MS 8                 	0.62                     	          	        	BA      	12.20       
18 	N      	7  	11 	0.0000  	1-            	13.113    	19   	620 MS 8                 	0.62                     	          	        	BN      	7.00        
19 	N      	7  	12 	0.0000  	              	15.857    	16   	336 MS 3                 	0.336                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.857    	16   	336 MS 3                 	0.336                    	          	        	BN      	41.80       
20 	N      	7  	13 	0.0000  	2-            	21.77     	6    	136 MS 3                 	0.136                    	          	        	BN      	42.90       
20 	N      	7  	13 	0.0000  	2-            	21.77     	6    	136 MS 3                 	0.136                    	          	        	B-      	100.00      
21 	N      	7  	14 	0.0000  	(1/2-)        	25.25     	10   	83 MS 8                  	0.083                    	          	        	B-      	100.00      
21 	N      	7  	14 	0.0000  	(1/2-)        	25.25     	10   	83 MS 8                  	0.083                    	          	        	BN      	90.50       
22 	N      	7  	15 	0.0000  	(0-,1-)       	32.04     	19   	20 MS 2                  	0.02                     	          	        	B-      	100.00      
22 	N      	7  	15 	0.0000  	(0-,1-)       	32.04     	19   	20 MS 2                  	0.02                     	          	        	BN      	33.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	32.04     	19   	20 MS 2                  	0.02                     	          	        	B2N     	12.00       
23 	N      	7  	16 	0.0000  	              	38.4      	3    	14.5 MS 14               	0.0145                   	          	        	B-      	100.00      
23 	N      	7  	16 	0.0000  	              	38.4      	3    	14.5 MS 14               	0.0145                   	          	        	BN      	            
23 	N      	7  	16 	0.0000  	              	38.4      	3    	14.5 MS 14               	0.0145                   	          	        	B2N     	            
