A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
58 	Ti     	22 	36 	0.0000  	0+            	-30.7     	5    	57 MS 10                 	0.057                    	          	        	B-      	100.00      
58 	Ti     	22 	36 	0.0000  	0+            	-30.7     	5    	57 MS 10                 	0.057                    	          	        	BN      	            
59 	Ti     	22 	37 	0.0000  	(5/2-)        	-25.0     	5    	27.5 MS 25               	0.0275                   	          	        	B-      	100.00      
60 	Ti     	22 	38 	0.0000  	0+            	-21.5     	6    	22.4 MS 25               	0.0224                   	          	        	B-      	            
61 	Ti     	22 	39 	0.0000  	(1/2-)        	-15.5     	7    	15 MS 4                  	0.015                    	          	        	B-      	100.00      
61 	Ti     	22 	39 	0.0000  	(1/2-)        	-15.5     	7    	15 MS 4                  	0.015                    	          	        	BN      	            
62 	Ti     	22 	40 	0.0000  	0+            	-11.8     	7    	620 NS GT                	6.2E-7                   	          	        	B-      	            
62 	Ti     	22 	40 	0.0000  	0+            	-11.8     	7    	620 NS GT                	6.2E-7                   	          	        	BN      	            
63 	Ti     	22 	41 	0.0000  	              	-5.2      	8    	360 NS GT                	3.6E-7                   	          	        	B-      	            
63 	Ti     	22 	41 	0.0000  	              	-5.2      	8    	360 NS GT                	3.6E-7                   	          	        	BN      	            
40 	V      	23 	17 	0.0000  	              	11.6      	5    	                         	                         	          	        	P       	?           
41 	V      	23 	18 	0.0000  	              	0         	AP   	                         	                         	          	        	P       	?           
42 	V      	23 	19 	0.0000  	              	-7.6      	5    	55 NS LT                 	5.5E-8                   	          	        	P       	            
43 	V      	23 	20 	0.0000  	              	-18.02    	23   	79.3 MS 24               	0.0793                   	          	        	EC      	100.00      
44 	V      	23 	21 	0.0000  	(2+)          	-24.12    	12   	111 MS 7                 	0.111                    	          	        	EC      	100.00      
44 	V      	23 	21 	0.0000  	(2+)          	-24.12    	12   	111 MS 7                 	0.111                    	          	        	EA      	            
44 	V      	23 	21 	0.0000  	(6+)          	-24.12    	12   	150 MS 3                 	0.15                     	          	        	EC      	100.00      
45 	V      	23 	22 	0.0000  	7/2-          	-31.880   	17   	547 MS 6                 	0.547                    	          	        	EC      	100.00      
46 	V      	23 	23 	0.0000  	0+            	-37.0744  	3    	422.50 MS 11             	0.423                    	          	        	EC      	100.00      
47 	V      	23 	24 	0.0000  	3/2-          	-42.0056  	3    	32.6 M 3                 	1956                     	          	        	EC      	100.00      
48 	V      	23 	25 	0.0000  	4+            	-44.4764  	11   	15.9735 D 25             	1380110.4                	          	        	EC      	100.00      
49 	V      	23 	26 	0.0000  	7/2-          	-47.9609  	9    	330 D 15                 	2.851E7                  	          	        	EC      	100.00      
50 	V      	23 	27 	0.0000  	6+            	-49.2240  	9    	2.1E+17 Y GT             	6.627E24                 	0.250%    	2       	EC      	> 92.90     
50 	V      	23 	27 	0.0000  	6+            	-49.2240  	9    	2.1E+17 Y GT             	6.627E24                 	0.250%    	2       	B-      	< 7.10      
51 	V      	23 	28 	0.0000  	7/2-          	-52.2039  	9    	STABLE                   	infinity                 	99.750%   	2       	        	            
52 	V      	23 	29 	0.0000  	3+            	-51.4438  	9    	3.743 M 5                	224.58                   	          	        	B-      	100.00      
53 	V      	23 	30 	0.0000  	7/2-          	-51.850   	3    	1.543 M 14               	92.58                    	          	        	B-      	100.00      
54 	V      	23 	31 	0.0000  	3+            	-49.892   	15   	49.8 S 5                 	49.8                     	          	        	B-      	100.00      
55 	V      	23 	32 	0.0000  	(7/2-)        	-49.15    	10   	6.54 S 15                	6.54                     	          	        	B-      	100.00      
56 	V      	23 	33 	0.0000  	1+            	-46.08    	20   	0.216 S 4                	0.216                    	          	        	B-      	100.00      
56 	V      	23 	33 	0.0000  	1+            	-46.08    	20   	0.216 S 4                	0.216                    	          	        	BN      	            
57 	V      	23 	34 	0.0000  	(7/2-)        	-44.19    	23   	0.32 S 3                 	0.32                     	          	        	B-      	100.00      
57 	V      	23 	34 	0.0000  	(7/2-)        	-44.19    	23   	0.32 S 3                 	0.32                     	          	        	BN      	            
58 	V      	23 	35 	0.0000  	(1+)          	-40.21    	25   	191 MS 10                	0.191                    	          	        	B-      	100.00      
58 	V      	23 	35 	0.0000  	(1+)          	-40.21    	25   	191 MS 10                	0.191                    	          	        	BN      	            
59 	V      	23 	36 	0.0000  	(5/2-)        	-37.1     	3    	97 MS 2                  	0.097                    	          	        	B-      	100.00      
59 	V      	23 	36 	0.0000  	(5/2-)        	-37.1     	3    	97 MS 2                  	0.097                    	          	        	BN      	< 3.00      
60 	V      	23 	37 	0.0000  	              	-32.6     	5    	68 MS 5                  	0.068                    	          	        	B-      	            
60 	V      	23 	37 	0.0000  	              	-32.6     	5    	40 MS 15                 	0.04                     	          	        	B-      	100.00      
60 	V      	23 	37 	0.0000  	              	-32.6     	5    	40 MS 15                 	0.04                     	          	        	BN      	            
60 	V      	23 	37 	0.0000  	              	-32.6     	5    	40 MS 15                 	0.04                     	          	        	B-      	100.00      
60 	V      	23 	37 	0.0000  	              	-32.6     	5    	40 MS 15                 	0.04                     	          	        	BN      	            
61 	V      	23 	38 	0.0000  	(3/2-)        	-29.5     	3    	52.6 MS 42               	0.0526                   	          	        	B-      	100.00      
61 	V      	23 	38 	0.0000  	(3/2-)        	-29.5     	3    	52.6 MS 42               	0.0526                   	          	        	BN      	>= 6.00     
62 	V      	23 	39 	0.0000  	              	-24.6     	4    	33.5 MS 20               	0.0335                   	          	        	B-      	100.00      
62 	V      	23 	39 	0.0000  	              	-24.6     	4    	33.5 MS 20               	0.0335                   	          	        	BN      	            
63 	V      	23 	40 	0.0000  	7/2-          	-21.1     	5    	19.2 MS 24               	0.0192                   	          	        	B-      	100.00      
63 	V      	23 	40 	0.0000  	7/2-          	-21.1     	5    	19.2 MS 24               	0.0192                   	          	        	BN      	~ 35.00     
64 	V      	23 	41 	0.0000  	              	-15.6     	5    	19 MS 8                  	0.019                    	          	        	B-      	100.00      
65 	V      	23 	42 	0.0000  	              	-11.3     	6    	360 NS GT                	3.6E-7                   	          	        	B-      	100.00      
65 	V      	23 	42 	0.0000  	              	-11.3     	6    	360 NS GT                	3.6E-7                   	          	        	BN      	            
66 	V      	23 	43 	0.0000  	              	-5.3      	7    	360 NS GT                	3.6E-7                   	          	        	B-      	            
66 	V      	23 	43 	0.0000  	              	-5.3      	7    	360 NS GT                	3.6E-7                   	          	        	BN      	            
42 	Cr     	24 	18 	0.0000  	0+            	6.5       	3    	13.3 MS 10               	0.0133                   	          	        	EC      	100.00      
42 	Cr     	24 	18 	0.0000  	0+            	6.5       	3    	13.3 MS 10               	0.0133                   	          	        	EP      	94.40       
43 	Cr     	24 	19 	0.0000  	(3/2+)        	-1.94     	20   	20.6 MS 9                	0.0206                   	          	        	EC      	100.00      
43 	Cr     	24 	19 	0.0000  	(3/2+)        	-1.94     	20   	20.6 MS 9                	0.0206                   	          	        	EP      	81.00       
43 	Cr     	24 	19 	0.0000  	(3/2+)        	-1.94     	20   	20.6 MS 9                	0.0206                   	          	        	E2P     	7.10        
43 	Cr     	24 	19 	0.0000  	(3/2+)        	-1.94     	20   	20.6 MS 9                	0.0206                   	          	        	E3P     	0.08        
44 	Cr     	24 	20 	0.0000  	0+            	-13.14    	20   	42.8 MS 6                	0.0428                   	          	        	EP      	14.00       
44 	Cr     	24 	20 	0.0000  	0+            	-13.14    	20   	42.8 MS 6                	0.0428                   	          	        	EC      	100.00      
45 	Cr     	24 	21 	0.0000  	(7/2-)        	-19.40    	20   	60.9 MS 4                	0.0609                   	          	        	EC      	100.00      
45 	Cr     	24 	21 	0.0000  	(7/2-)        	-19.40    	20   	60.9 MS 4                	0.0609                   	          	        	EP      	34.40       
46 	Cr     	24 	22 	0.0000  	0+            	-29.473   	20   	0.26 S 6                 	0.26                     	          	        	EC      	100.00      
47 	Cr     	24 	23 	0.0000  	3/2-          	-34.558   	14   	500 MS 15                	0.5                      	          	        	EC      	100.00      
48 	Cr     	24 	24 	0.0000  	0+            	-42.822   	7    	21.56 H 3                	77616                    	          	        	EC      	100.00      
49 	Cr     	24 	25 	0.0000  	5/2-          	-45.3329  	24   	42.3 M 1                 	2538                     	          	        	EC      	100.00      
50 	Cr     	24 	26 	0.0000  	0+            	-50.2619  	9    	1.3E+18 Y GT             	4.102E25                 	4.345%    	13      	2EC     	            
51 	Cr     	24 	27 	0.0000  	7/2-          	-51.4512  	9    	27.7025 D 24             	2393496                  	          	        	EC      	100.00      
52 	Cr     	24 	28 	0.0000  	0+            	-55.4180  	6    	STABLE                   	infinity                 	83.789%   	18      	        	            
53 	Cr     	24 	29 	0.0000  	3/2-          	-55.2858  	6    	STABLE                   	infinity                 	9.501%    	17      	        	            
54 	Cr     	24 	30 	0.0000  	0+            	-56.9336  	6    	STABLE                   	infinity                 	2.365%    	7       	        	            
55 	Cr     	24 	31 	0.0000  	3/2-          	-55.1086  	6    	3.497 M 3                	209.82                   	          	        	B-      	100.00      
56 	Cr     	24 	32 	0.0000  	0+            	-55.2812  	19   	5.94 M 10                	356.4                    	          	        	B-      	100.00      
57 	Cr     	24 	33 	0.0000  	(3/2)-        	-52.5241  	19   	21.1 S 10                	21.1                     	          	        	B-      	100.00      
58 	Cr     	24 	34 	0.0000  	0+            	-51.83    	20   	7.0 S 3                  	7                        	          	        	B-      	100.00      
59 	Cr     	24 	35 	0.0000  	(1/2-)        	-47.89    	24   	1.05 S 9                 	1.05                     	          	        	B-      	100.00      
60 	Cr     	24 	36 	0.0000  	0+            	-46.50    	21   	0.49 S 1                 	0.49                     	          	        	B-      	100.00      
61 	Cr     	24 	37 	0.0000  	(5/2-)        	-42.2     	3    	243 MS 11                	0.243                    	          	        	B-      	100.00      
61 	Cr     	24 	37 	0.0000  	(5/2-)        	-42.2     	3    	243 MS 11                	0.243                    	          	        	BN      	            
62 	Cr     	24 	38 	0.0000  	0+            	-40.4     	3    	206 MS 12                	0.206                    	          	        	BN      	            
62 	Cr     	24 	38 	0.0000  	0+            	-40.4     	3    	206 MS 12                	0.206                    	          	        	B-      	100.00      
63 	Cr     	24 	39 	0.0000  	1/2-          	-35.6     	3    	129 MS 2                 	0.129                    	          	        	B-      	100.00      
63 	Cr     	24 	39 	0.0000  	1/2-          	-35.6     	3    	129 MS 2                 	0.129                    	          	        	BN      	            
64 	Cr     	24 	40 	0.0000  	0+            	-33.3     	3    	42 MS 2                  	0.042                    	          	        	B-      	100.00      
65 	Cr     	24 	41 	0.0000  	(1/2-)        	-27.8     	3    	28 MS 3                  	0.028                    	          	        	B-      	100.00      
66 	Cr     	24 	42 	0.0000  	0+            	-24.3     	5    	23 MS 4                  	0.023                    	          	        	B-      	100.00      
68 	Cr     	24 	44 	0.0000  	0+            	-14.9     	7    	360 NS GT                	3.6E-7                   	          	        	B-      	            
68 	Cr     	24 	44 	0.0000  	0+            	-14.9     	7    	360 NS GT                	3.6E-7                   	          	        	BN      	            
44 	Mn     	25 	19 	0.0000  	(2-)          	6.7       	5    	105 NS LT                	1.05E-7                  	          	        	EC      	            
44 	Mn     	25 	19 	0.0000  	(2-)          	6.7       	5    	105 NS LT                	1.05E-7                  	          	        	P       	            
45 	Mn     	25 	20 	0.0000  	              	-5.1      	3    	                         	                         	          	        	        	            
46 	Mn     	25 	21 	0.0000  	(4+)          	-11.96    	11   	36.2 MS 4                	0.0362                   	          	        	EC      	100.00      
46 	Mn     	25 	21 	0.0000  	(4+)          	-11.96    	11   	36.2 MS 4                	0.0362                   	          	        	EP      	57.00       
47 	Mn     	25 	22 	0.0000  	(5/2-)        	-22.26    	16   	88.0 MS 13               	0.088                    	          	        	EC      	100.00      
47 	Mn     	25 	22 	0.0000  	(5/2-)        	-22.26    	16   	88.0 MS 13               	0.088                    	          	        	EP      	< 1.70      
48 	Mn     	25 	23 	0.0000  	4+            	-29.32    	11   	158.1 MS 22              	0.158                    	          	        	EC      	100.00      
48 	Mn     	25 	23 	0.0000  	4+            	-29.32    	11   	158.1 MS 22              	0.158                    	          	        	EP      	0.28        
48 	Mn     	25 	23 	0.0000  	4+            	-29.32    	11   	158.1 MS 22              	0.158                    	          	        	EA      	< 6.0E-4    
49 	Mn     	25 	24 	0.0000  	5/2-          	-37.615   	24   	382 MS 7                 	0.382                    	          	        	EC      	100.00      
50 	Mn     	25 	25 	0.0000  	0+            	-42.6274  	9    	283.19 MS 10             	0.283                    	          	        	EC      	100.00      
51 	Mn     	25 	26 	0.0000  	5/2-          	-48.2437  	9    	46.2 M 1                 	2772                     	          	        	EC      	100.00      
52 	Mn     	25 	27 	0.0000  	6+            	-50.7068  	19   	5.591 D 3                	483062.4                 	          	        	EC      	100.00      
53 	Mn     	25 	28 	0.0000  	7/2-          	-54.6890  	6    	3.74E+6 Y 4              	1.18E14                  	          	        	EC      	100.00      
54 	Mn     	25 	29 	0.0000  	3+            	-55.5565  	12   	312.12 D 6               	2.697E7                  	          	        	EC      	100.00      
54 	Mn     	25 	29 	0.0000  	3+            	-55.5565  	12   	312.12 D 6               	2.697E7                  	          	        	B-      	< 2.9E-4    
55 	Mn     	25 	30 	0.0000  	5/2-          	-57.7117  	4    	STABLE                   	infinity                 	100%      	        	        	            
56 	Mn     	25 	31 	0.0000  	3+            	-56.9108  	5    	2.5789 H 1               	9284.04                  	          	        	B-      	100.00      
57 	Mn     	25 	32 	0.0000  	5/2-          	-57.4861  	15   	85.4 S 18                	85.4                     	          	        	B-      	100.00      
58 	Mn     	25 	33 	0.0000  	1+            	-55.827   	3    	3.0 S 1                  	3                        	          	        	B-      	100.00      
59 	Mn     	25 	34 	0.0000  	(5/2)-        	-55.5252  	23   	4.59 S 5                 	4.59                     	          	        	B-      	100.00      
60 	Mn     	25 	35 	0.0000  	1+            	-52.9678  	23   	0.28 S 2                 	0.28                     	          	        	B-      	100.00      
61 	Mn     	25 	36 	0.0000  	(5/2)-        	-51.7420  	23   	0.67 S 4                 	0.67                     	          	        	B-      	100.00      
62 	Mn     	25 	37 	0.0000  	(3+)          	-48.181   	3    	671 MS 5                 	0.671                    	          	        	B-      	100.00      
62 	Mn     	25 	37 	0.0000  	(3+)          	-48.181   	3    	671 MS 5                 	0.671                    	          	        	BN      	            
62 	Mn     	25 	37 	0.0000  	(1+)          	-48.181   	3    	92 MS 13                 	0.092                    	          	        	B-      	100.00      
62 	Mn     	25 	37 	0.0000  	(1+)          	-48.181   	3    	92 MS 13                 	0.092                    	          	        	BN      	            
63 	Mn     	25 	38 	0.0000  	5/2-          	-46.887   	4    	0.275 S 4                	0.275                    	          	        	B-      	100.00      
63 	Mn     	25 	38 	0.0000  	5/2-          	-46.887   	4    	0.275 S 4                	0.275                    	          	        	BN      	            
64 	Mn     	25 	39 	0.0000  	(1+)          	-42.989   	4    	90 MS 4                  	0.09                     	          	        	B-      	100.00      
64 	Mn     	25 	39 	0.0000  	(1+)          	-42.989   	4    	90 MS 4                  	0.09                     	          	        	BN      	33.00       
65 	Mn     	25 	40 	0.0000  	(5/2-)        	-40.967   	4    	84 MS 8                  	0.084                    	          	        	B-      	100.00      
66 	Mn     	25 	41 	0.0000  	              	-36.750   	11   	65 MS 2                  	0.065                    	          	        	B-      	100.00      
67 	Mn     	25 	42 	0.0000  	(5/2+)        	-32.8     	4    	51 MS 4                  	0.051                    	          	        	BN      	> 10.0      
67 	Mn     	25 	42 	0.0000  	(5/2+)        	-32.8     	4    	51 MS 4                  	0.051                    	          	        	B-      	100.00      
68 	Mn     	25 	43 	0.0000  	(>3)          	-28.0     	5    	28 MS 3                  	0.028                    	          	        	B-      	100.00      
68 	Mn     	25 	43 	0.0000  	(>3)          	-28.0     	5    	28 MS 3                  	0.028                    	          	        	BN      	            
69 	Mn     	25 	44 	0.0000  	5/2-          	-24.4     	6    	18 MS 4                  	0.018                    	          	        	B-      	100.00      
70 	Mn     	25 	45 	0.0000  	              	-19.2     	8    	360 NS GT                	3.6E-7                   	          	        	B-      	            
70 	Mn     	25 	45 	0.0000  	              	-19.2     	8    	360 NS GT                	3.6E-7                   	          	        	BN      	            
71 	Mn     	25 	46 	0.0000  	              	          	     	637 NS GT                	6.37E-7                  	          	        	B-      	            
71 	Mn     	25 	46 	0.0000  	              	          	     	637 NS GT                	6.37E-7                  	          	        	BN      	            
71 	Mn     	25 	46 	0.0000  	              	          	     	637 NS GT                	6.37E-7                  	          	        	B2N     	            
45 	Fe     	26 	19 	0.0000  	(3/2+)        	13.79     	20   	1.89 MS +49-21           	0.00189                  	          	        	EC      	<= 30.00    
45 	Fe     	26 	19 	0.0000  	(3/2+)        	13.79     	20   	1.89 MS +49-21           	0.00189                  	          	        	EP      	19.00       
45 	Fe     	26 	19 	0.0000  	(3/2+)        	13.79     	20   	1.89 MS +49-21           	0.00189                  	          	        	E2P     	7.80        
45 	Fe     	26 	19 	0.0000  	(3/2+)        	13.79     	20   	1.89 MS +49-21           	0.00189                  	          	        	E3P     	3.30        
45 	Fe     	26 	19 	0.0000  	(3/2+)        	13.79     	20   	1.89 MS +49-21           	0.00189                  	          	        	2P      	70.00       
46 	Fe     	26 	20 	0.0000  	0+            	0.8       	4    	13.0 MS 20               	0.013                    	          	        	EC      	100.00      
46 	Fe     	26 	20 	0.0000  	0+            	0.8       	4    	13.0 MS 20               	0.013                    	          	        	EP      	78.70       
47 	Fe     	26 	21 	0.0000  	(7/2-)        	-6.6      	3    	21.9 MS 2                	0.0219                   	          	        	EC      	100.00      
47 	Fe     	26 	21 	0.0000  	(7/2-)        	-6.6      	3    	21.9 MS 2                	0.0219                   	          	        	EP      	88.4        
47 	Fe     	26 	21 	0.0000  	(7/2-)        	-6.6      	3    	21.9 MS 2                	0.0219                   	          	        	E2P     	            
48 	Fe     	26 	22 	0.0000  	0+            	-18.16    	7    	45.3 MS 6                	0.0453                   	          	        	EC      	100.00      
48 	Fe     	26 	22 	0.0000  	0+            	-18.16    	7    	45.3 MS 6                	0.0453                   	          	        	EP      	15.90       
49 	Fe     	26 	23 	0.0000  	(7/2-)        	-24.82    	15   	64.7 MS 3                	0.0647                   	          	        	EC      	100.00      
49 	Fe     	26 	23 	0.0000  	(7/2-)        	-24.82    	15   	64.7 MS 3                	0.0647                   	          	        	EP      	56.70       
50 	Fe     	26 	24 	0.0000  	0+            	-34.49    	6    	155 MS 11                	0.155                    	          	        	EC      	100.00      
50 	Fe     	26 	24 	0.0000  	0+            	-34.49    	6    	155 MS 11                	0.155                    	          	        	EP      	?           
51 	Fe     	26 	25 	0.0000  	5/2-          	-40.221   	15   	305 MS 5                 	0.305                    	          	        	EC      	100.00      
52 	Fe     	26 	26 	0.0000  	0+            	-48.333   	7    	8.275 H 8                	29790                    	          	        	EC      	100.00      
53 	Fe     	26 	27 	0.0000  	7/2-          	-50.9467  	17   	8.51 M 2                 	510.6                    	          	        	EC      	100.00      
54 	Fe     	26 	28 	0.0000  	0+            	-56.2538  	5    	STABLE                   	infinity                 	5.845%    	35      	        	            
55 	Fe     	26 	29 	0.0000  	3/2-          	-57.4806  	5    	2.744 Y 9                	8.659E7                  	          	        	EC      	100.00      
56 	Fe     	26 	30 	0.0000  	0+            	-60.6063  	5    	STABLE                   	infinity                 	91.754%   	36      	        	            
57 	Fe     	26 	31 	0.0000  	1/2-          	-60.1811  	5    	STABLE                   	infinity                 	2.119%    	10      	        	            
58 	Fe     	26 	32 	0.0000  	0+            	-62.1544  	5    	STABLE                   	infinity                 	0.282%    	4       	        	            
59 	Fe     	26 	33 	0.0000  	3/2-          	-60.6641  	5    	44.495 D 9               	3844368                  	          	        	B-      	100.00      
60 	Fe     	26 	34 	0.0000  	0+            	-61.413   	3    	2.62E+6 Y 4              	8.268E13                 	          	        	B-      	100.00      
61 	Fe     	26 	35 	0.0000  	3/2-,5/2-     	-58.920   	3    	5.98 M 6                 	358.8                    	          	        	B-      	100.00      
62 	Fe     	26 	36 	0.0000  	0+            	-58.878   	3    	68 S 2                   	68                       	          	        	B-      	100.00      
63 	Fe     	26 	37 	0.0000  	(5/2-)        	-55.636   	4    	6.1 S 6                  	6.1                      	          	        	B-      	100.00      
64 	Fe     	26 	38 	0.0000  	0+            	-54.969   	5    	2.0 S 2                  	2                        	          	        	B-      	100.00      
65 	Fe     	26 	39 	0.0000  	(1/2-)        	-51.221   	7    	0.81 S 5                 	0.81                     	          	        	B-      	100.00      
66 	Fe     	26 	40 	0.0000  	0+            	-50.068   	4    	440 MS 60                	0.44                     	          	        	B-      	100.00      
67 	Fe     	26 	41 	0.0000  	(1/2-)        	-45.7     	4    	0.40 S 4                 	0.4                      	          	        	B-      	100.00      
68 	Fe     	26 	42 	0.0000  	0+            	-43.1     	7    	180 MS 19                	0.18                     	          	        	B-      	100.00      
69 	Fe     	26 	43 	0.0000  	1/2-          	-38.4     	5    	110 MS 6                 	0.11                     	          	        	B-      	100.00      
70 	Fe     	26 	44 	0.0000  	0+            	-36.3     	6    	71 MS 10                 	0.071                    	          	        	B-      	100.00      
71 	Fe     	26 	45 	0.0000  	              	-31.0     	8    	28 MS 5                  	0.028                    	          	        	B-      	100.00      
71 	Fe     	26 	45 	0.0000  	              	-31.0     	8    	28 MS 5                  	0.028                    	          	        	BN      	            
72 	Fe     	26 	46 	0.0000  	0+            	-28.3     	8    	150 NS GE                	1.5E-7                   	          	        	B-      	100.00      
72 	Fe     	26 	46 	0.0000  	0+            	-28.3     	8    	150 NS GE                	1.5E-7                   	          	        	BN      	27.60       
73 	Fe     	26 	47 	0.0000  	              	          	     	633 NS GT                	6.33E-7                  	          	        	B-      	            
73 	Fe     	26 	47 	0.0000  	              	          	     	633 NS GT                	6.33E-7                  	          	        	BN      	            
73 	Fe     	26 	47 	0.0000  	              	          	     	633 NS GT                	6.33E-7                  	          	        	B2N     	            
74 	Fe     	26 	48 	0.0000  	0+            	          	     	638 NS GT                	6.38E-7                  	          	        	BN      	            
74 	Fe     	26 	48 	0.0000  	0+            	          	     	638 NS GT                	6.38E-7                  	          	        	B2N     	            
74 	Fe     	26 	48 	0.0000  	0+            	          	     	638 NS GT                	6.38E-7                  	          	        	B-      	            
50 	Co     	27 	23 	0.0000  	(6+)          	-17.19    	17   	38.8 MS 2                	0.0388                   	          	        	EC      	100.00      
50 	Co     	27 	23 	0.0000  	(6+)          	-17.19    	17   	38.8 MS 2                	0.0388                   	          	        	EP      	70.50       
50 	Co     	27 	23 	0.0000  	(6+)          	-17.19    	17   	38.8 MS 2                	0.0388                   	          	        	E2P     	            
51 	Co     	27 	24 	0.0000  	(7/2-)        	-27.27    	15   	200 NS GT                	2.0000000000000002E-7    	          	        	EC      	            
52 	Co     	27 	25 	0.0000  	(6+)          	-33.92    	7    	115 MS 23                	0.115                    	          	        	EC      	100.00      
53 	Co     	27 	26 	0.0000  	(7/2-)        	-42.6585  	18   	240 MS 9                 	0.24                     	          	        	EC      	100.00      
54 	Co     	27 	27 	0.0000  	0+            	-48.0092  	5    	193.28 MS 7              	0.193                    	          	        	EC      	100.00      
55 	Co     	27 	28 	0.0000  	7/2-          	-54.0292  	5    	17.53 H 3                	63108.00000000001        	          	        	EC      	100.00      
56 	Co     	27 	29 	0.0000  	4+            	-56.0397  	6    	77.236 D 26              	6673190.4                	          	        	EC      	100.00      
57 	Co     	27 	30 	0.0000  	7/2-          	-59.3449  	6    	271.74 D 6               	2.348E7                  	          	        	EC      	100.00      
58 	Co     	27 	31 	0.0000  	2+            	-59.8465  	12   	70.86 D 6                	6122304                  	          	        	EC      	100.00      
59 	Co     	27 	32 	0.0000  	7/2-          	-62.2290  	5    	STABLE                   	infinity                 	100%      	        	        	            
60 	Co     	27 	33 	0.0000  	5+            	-61.6496  	5    	1925.28 D 14             	1.663E8                  	          	        	B-      	100.00      
61 	Co     	27 	34 	0.0000  	7/2-          	-62.8975  	9    	1.650 H 5                	5940                     	          	        	B-      	100.00      
62 	Co     	27 	35 	0.0000  	2+            	-61.431   	20   	1.50 M 4                 	90                       	          	        	B-      	100.00      
63 	Co     	27 	36 	0.0000  	7/2-          	-61.839   	20   	27.4 S 5                 	27.4                     	          	        	B-      	100.00      
64 	Co     	27 	37 	0.0000  	1+            	-59.792   	20   	0.30 S 3                 	0.3                      	          	        	B-      	100.00      
65 	Co     	27 	38 	0.0000  	(7/2)-        	-59.1851  	21   	1.16 S 3                 	1.16                     	          	        	B-      	100.00      
66 	Co     	27 	39 	0.0000  	(3+)          	-56.408   	14   	0.20 S 2                 	0.2                      	          	        	B-      	100.00      
67 	Co     	27 	40 	0.0000  	(7/2-)        	-55.322   	6    	0.425 S 20               	0.425                    	          	        	B-      	100.00      
68 	Co     	27 	41 	0.0000  	(7-)          	-51.91    	13   	0.199 S 21               	0.199                    	          	        	B-      	100.00      
68 	Co     	27 	41 	0.0000  	(3+)          	-51.91    	13   	1.6 S 3                  	1.6                      	          	        	B-      	100.00      
69 	Co     	27 	42 	0.0000  	7/2-          	-50.0     	3    	229 MS 24                	0.229                    	          	        	B-      	100.00      
70 	Co     	27 	43 	0.0000  	(6-)          	-45.6     	8    	108 MS 7                 	0.108                    	          	        	B-      	100.00      
70 	Co     	27 	43 	0.0000  	(3+)          	-45.6     	8    	0.50 S 18                	0.5                      	          	        	B-      	100.00      
71 	Co     	27 	44 	0.0000  	(7/2-)        	-43.9     	8    	80 MS 3                  	0.08                     	          	        	B-      	100.00      
71 	Co     	27 	44 	0.0000  	(7/2-)        	-43.9     	8    	80 MS 3                  	0.08                     	          	        	BN      	<= 6.00     
72 	Co     	27 	45 	0.0000  	(6-,7-)       	-39.7     	6    	59.9 MS 17               	0.0599                   	          	        	B-      	100.00      
72 	Co     	27 	45 	0.0000  	(6-,7-)       	-39.7     	6    	59.9 MS 17               	0.0599                   	          	        	BN      	>= 6.00     
73 	Co     	27 	46 	0.0000  	              	-37.2     	7    	41 MS 4                  	0.041                    	          	        	B-      	            
74 	Co     	27 	47 	0.0000  	0+            	-32.7     	8    	25 MS 5                  	0.025                    	          	        	B-      	            
74 	Co     	27 	47 	0.0000  	0+            	-32.7     	8    	25 MS 5                  	0.025                    	          	        	BN      	~ 18.00     
75 	Co     	27 	48 	0.0000  	(7/2-)        	-29.4     	8    	150 NS GT                	1.5E-7                   	          	        	B-      	100.00      
76 	Co     	27 	49 	0.0000  	              	          	     	634 NS GT                	6.34E-7                  	          	        	B-      	            
76 	Co     	27 	49 	0.0000  	              	          	     	634 NS GT                	6.34E-7                  	          	        	B2N     	            
76 	Co     	27 	49 	0.0000  	              	          	     	634 NS GT                	6.34E-7                  	          	        	BN      	            
48 	Ni     	28 	20 	0.0000  	0+            	18.0      	5    	2.1 MS +14-6             	0.0021                   	          	        	2P      	~ 70.00     
48 	Ni     	28 	20 	0.0000  	0+            	18.0      	5    	2.1 MS +14-6             	0.0021                   	          	        	EC      	            
49 	Ni     	28 	21 	0.0000  	              	8.7       	4    	7.5 MS 10                	0.0075                   	          	        	EC      	100.00      
49 	Ni     	28 	21 	0.0000  	              	8.7       	4    	7.5 MS 10                	0.0075                   	          	        	EP      	83.00       
50 	Ni     	28 	22 	0.0000  	0+            	-3.6      	3    	18.5 MS 12               	0.0185                   	          	        	EP      	86.70       
50 	Ni     	28 	22 	0.0000  	0+            	-3.6      	3    	18.5 MS 12               	0.0185                   	          	        	E2P     	            
50 	Ni     	28 	22 	0.0000  	0+            	-3.6      	3    	18.5 MS 12               	0.0185                   	          	        	EC      	100.00      
51 	Ni     	28 	23 	0.0000  	(7/2-)        	-11.5     	3    	23.8 MS 2                	0.0238                   	          	        	EC      	            
51 	Ni     	28 	23 	0.0000  	(7/2-)        	-11.5     	3    	23.8 MS 2                	0.0238                   	          	        	EP      	87.2        
52 	Ni     	28 	24 	0.0000  	0+            	-22.89    	20   	40.8 MS 2                	0.0408                   	          	        	EC      	100.00      
